"freq","word1","word2","word3"
"2","a","large","one"
"2","a","large","part"
"2","a","large","pot"
"2","a","large","saucepan"
"2","a","large","skillet"
"2","a","large","unk"
"2","a","larger","than"
"2","a","las","vegas"
"3","a","last","minute"
"2","a","later","date"
"2","a","later","time"
"2","a","laugh","and"
"3","a","launch","party"
"2","a","law","i"
"2","a","law","requiring"
"3","a","law","that"
"3","a","lawsuit","against"
"2","a","lawsuit","brought"
"4","a","lawyer","for"
"2","a","lawyer","representing"
"3","a","layer","of"
"2","a","lead","after"
"2","a","lead","at"
"5","a","lead","in"
"2","a","lead","to"
"2","a","lead","with"
"2","a","leader","and"
"2","a","leader","in"
"2","a","leader","is"
"2","a","leadership","role"
"3","a","leadoff","double"
"3","a","leap","of"
"2","a","learning","experience"
"2","a","lecture","on"
"2","a","leg","up"
"2","a","leisurely","stroll"
"2","a","length","of"
"5","a","less","than"
"4","a","letter","from"
"5","a","letter","of"
"2","a","letter","that"
"10","a","letter","to"
"2","a","level","that"
"2","a","license","plate"
"2","a","license","to"
"2","a","life","in"
"9","a","life","of"
"2","a","life","that"
"2","a","life","threatening"
"2","a","life","time"
"5","a","lifetime","of"
"2","a","lift","home"
"2","a","light","brown"
"3","a","lightning","strike"
"3","a","lil","bit"
"2","a","lil","unk"
"3","a","limited","number"
"2","a","limited","time"
"2","a","line","in"
"7","a","line","of"
"2","a","line","on"
"2","a","link","on"
"18","a","link","to"
"2","a","link","with"
"2","a","list","and"
"32","a","list","of"
"2","a","litany","of"
"2","a","literary","man"
"3","a","little","after"
"3","a","little","and"
"2","a","little","baby"
"3","a","little","better"
"2","a","little","birdie"
"62","a","little","bit"
"2","a","little","bitch"
"2","a","little","box"
"3","a","little","boy"
"3","a","little","break"
"3","a","little","closer"
"2","a","little","concerned"
"2","a","little","crazy"
"2","a","little","daunting"
"9","a","little","different"
"3","a","little","early"
"3","a","little","easier"
"2","a","little","effort"
"2","a","little","for"
"2","a","little","fun"
"6","a","little","girl"
"3","a","little","giveaway"
"4","a","little","goes"
"2","a","little","help"
"2","a","little","i"
"2","a","little","jealous"
"4","a","little","kid"
"2","a","little","known"
"2","a","little","lacking"
"8","a","little","late"
"9","a","little","less"
"2","a","little","light"
"2","a","little","like"
"4","a","little","longer"
"38","a","little","more"
"5","a","little","nervous"
"4","a","little","of"
"5","a","little","off"
"2","a","little","old"
"3","a","little","over"
"2","a","little","prayer"
"2","a","little","research"
"2","a","little","respect"
"6","a","little","something"
"3","a","little","surprise"
"4","a","little","time"
"3","a","little","to"
"18","a","little","too"
"2","a","little","under"
"28","a","little","unk"
"2","a","little","water"
"2","a","little","we"
"6","a","little","while"
"2","a","little","white"
"2","a","little","wild"
"6","a","little","worried"
"2","a","live","entertainment"
"2","a","live","person"
"5","a","load","of"
"3","a","loaf","of"
"2","a","lobbyist","for"
"2","a","local","bank"
"2","a","local","market"
"2","a","local","restaurant"
"2","a","london","unk"
"3","a","long","and"
"7","a","long","day"
"3","a","long","distance"
"3","a","long","hard"
"3","a","long","hot"
"2","a","long","long"
"2","a","long","metal"
"2","a","long","night"
"2","a","long","period"
"2","a","long","process"
"2","a","long","road"
"3","a","long","shot"
"5","a","long","story"
"10","a","long","term"
"56","a","long","time"
"4","a","long","unk"
"22","a","long","way"
"3","a","long","week"
"5","a","long","weekend"
"7","a","long","while"
"2","a","longtime","resident"
"2","a","look","around"
"30","a","look","at"
"3","a","look","on"
"2","a","los","angeles"
"2","a","loss","and"
"3","a","loss","for"
"2","a","loss","of"
"5","a","loss","to"
"9","a","lot","about"
"6","a","lot","and"
"5","a","lot","better"
"2","a","lot","but"
"2","a","lot","closer"
"5","a","lot","easier"
"4","a","lot","for"
"3","a","lot","from"
"2","a","lot","going"
"4","a","lot","i"
"5","a","lot","in"
"2","a","lot","is"
"2","a","lot","less"
"7","a","lot","like"
"2","a","lot","longer"
"34","a","lot","more"
